account_id,account_name,global_region,industry_vertical,contract_tier,annual_contract_value,continued_decline_probability,priority_tier,on_churn_radar_aug,flag_reason,suggested_action,triage_note
ACC_0479,BizCorp_0479,EMEA,Manufacturing,Standard,14400,0.9974,High,Yes,API usage fell -54% and active seats fell -67% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0401,BizCorp_0401,APAC,Manufacturing,Standard,14400,0.997,High,Yes,API usage fell -49% and active seats fell -67% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0216,BizCorp_0216,EMEA,Financial Services,Standard,17280,0.9965,High,Yes,API usage fell -50% and active seats fell -67% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0299,BizCorp_0299,APAC,Manufacturing,Standard,27840,0.9964,High,Yes,API usage fell -52% and active seats fell -67% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0245,BizCorp_0245,APAC,Technology,Standard,22080,0.9961,High,Yes,API usage fell -53% and active seats fell -67% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0270,BizCorp_0270,APAC,Manufacturing,Standard,24960,0.9957,High,Yes,API usage fell -51% and active seats fell -67% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0551,BizCorp_0551,AMER,Retail,Standard,15360,0.9956,High,Yes,API usage fell -51% and active seats fell -67% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0078,BizCorp_0078,APAC,Retail,Premium,25200,0.9955,High,Yes,API usage fell -55% and active seats fell -60% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0668,BizCorp_0668,EMEA,Technology,Premium,74880,0.9953,High,Yes,API usage fell -50% and active seats fell -52% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0683,BizCorp_0683,EMEA,Technology,Premium,21600,0.9952,High,Yes,API usage fell -53% and active seats fell -60% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0381,BizCorp_0381,EMEA,Technology,Standard,20160,0.9952,High,Yes,API usage fell -48% and active seats fell -67% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0187,BizCorp_0187,AMER,Manufacturing,Premium,20880,0.995,High,Yes,API usage fell -55% and active seats fell -60% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
ACC_0119,BizCorp_0119,EMEA,Financial Services,Standard,15360,0.995,High,Yes,API usage fell -43% and active seats fell -67% together,This is not just a usage dip; fewer people are logging in at all. Prioritize an executive-sponsor call over a routine support touch.,"High priority - likely to keep declining, act first"
